"","PC1","PC2","PC3","PC4","PC5"
"94","Itgb4","Ganab","Clmp","9330182L06Rik","Soga3"
"95","Zfp185","Pstk","Itgbl1","Wnt8a","Tspyl2"
"96","Isca1","Nuf2","Ctsd","Fndc4","Mvp"
"97","Apoo","Golph3l","Kcna1","Safb","Adtrp"
"98","Rasgrp3","Bod1","Cadm1","Magee2","Nsfl1c"
"99","Sypl2","Asf1b","Cux1","Cd82","Dock8"
"100","Eef1a2","Mocs1","Fzd5","Ubtd2","Serpina3m"
"101","Suclg1","Bnip2","Nt5e","Tcea2","Lrrc59"
"102","Igdcc4","Clspn","Acsl4","Zfp521","Rasgrp1"
"103","Sptb","Camsap1","Pard3b","Prrx1","Spata6"
"104","Moxd1","2010012O05Rik","Ddx17","Khdrbs2","Sec16b"
"105","Anxa6","Chst11","7-Sep","Rab42","Bach2"
"106","Abcc9","Rab8b","Tns3","Rbm33","Rarres1"
"107","Decr1","Slc44a2","Commd8","Wdr78","Nhsl1"
"108","Aqp4","Slain2","Mcpt4","Cenpm","Egr2"
"109","Lpgat1","Tatdn1","Adamts20","Eif3c","Rho"
"110","Plcl2","Casp3","Sgms2","Sertad1","Rrp15"
"111","Krt5","Gpx8","Pthlh","Rexo2","Evc2"
"112","Fndc5","M6pr","Slc2a10","Tmprss5","Tnxb"
"113","Atp5c1","Cpe","Gpm6b","Myh9","Lamb2"
"114","Myot","Tram1","Tbc1d8b","Arl6ip4","Naa30"
"115","Ubac1","Mcm7","Foxc2","1700030K09Rik","Zfp931"
"116","Lrrc39","Egln3","Olfml3","Cnih3","Stxbp1"
"117","Coq9","Nucb1","Gm8764","Nlrx1","Ltbp3"
"118","Asb16","Rab3il1","Gm21312","Nppc","Fbxo39"
"119","Pfkm","Csnk1e","Gm20765","Fank1","Serpinb11"
"120","Insr","5730409E04Rik","Gm21304","Pja1","4931406B18Rik"
"121","Arhgef6","Casp7","Gm6763","Aven","3110082I17Rik"
"122","Tarsl2","Donson","Dact3","Rpl7l1","Cyp2a4"
"123","Rhoq","Arpc1b","Fzd1","Smim5","Rgcc"
"124","4930506M07Rik","Brinp2","Slc38a11","Isoc2b","Psmg1"
"125","H3f3b","Tsnax","Gclc","Epcam","Serpinb6a"
"126","Ckmt1","Cit","Dnal1","Gpatch4","Gng3"
"127","Tns4","Zfp71-rs1","Tbc1d10b","Thg1l","Lrriq4"
