"","PC1","PC2","PC3","PC4","PC5"
"6174","Nudcd3","Psg25","Mettl13","Gmfg","Slc1a4"
"6175","Nkrf","Rbm4","Kdm1b","Hey1","Gmfb"
"6176","Zswim8","Rpl36al","Tmem184c","Mme","Zic5"
"6177","Bcas3","Dlc1","Pgk1","Srpr","Serpina3f"
"6178","Rcn1","Hsbp1l1","Shisa2","Crym","Gpr153"
"6179","Cenpp","Hagh","C1qtnf2","Kcnb2","Zfp607"
"6180","Pcdh1","Agap3","Sepsecs","Afg3l2","Cdh17"
"6181","Nfrkb","Tmem132e","Mup18","Cep135","Tpte"
"6182","Nckap1l","Fam19a1","Ppp1r9b","2010001E11Rik","Gxylt2"
"6183","Prmt6","Zfp386","Kpna2","Slfn9","Myo5b"
"6184","Sfswap","Bmpr2","Gm4736","Kcnh7","Cldn12"
"6185","Gcnt2","Nprl2","Lig3","Nudt18","Slc2a13"
"6186","Dis3","Il15","Purg","Prim1","Lrrc47"
"6187","Ankrd13d","Siah3","Skint5","Egflam","Nceh1"
"6188","Kcnmb1","Nefl","Odam","Cbfa2t2","Rasgef1b"
"6189","Tnfrsf1b","St3gal3","Cdc14b","AW146154","Dnajb4"
"6190","Agbl1","Rpl37a","Derl1","Ppm1d","Col27a1"
"6191","Mboat2","Alpk3","Ttc30a1","Mpeg1","Hist1h2ad"
"6192","Nup155","Tgif1","Arfgap2","Parp10","Dusp19"
"6193","Meiob","Pbld1","Tnf","Ppp1r14a","Ncf4"
"6194","Unc119","Arid3b","Nr1h2","Sccpdh","2010300C02Rik"
"6195","Nme3","Apol7e","Akap6","Ifltd1","Ccdc41"
"6196","Capn10","Zfp648","Epha8","Fas","Cadps2"
"6197","Slc16a13","Banf1","Sema3g","Agtr1b","Nup62cl"
"6198","Wars","Fam180a","Thap2","Rgma","Capn7"
"6199","Ppp2r1a","Ube2j1","Aar2","Rhebl1","D6Wsu163e"
"6200","Trmt2a","Foxf1","Notch3","Bag6","Ipo11"
"6201","F2rl2","Snx4","Crisp1","B9d2","Pcdh1"
"6202","Smim12","1700055N04Rik","Pgap2","Arnt","Hba-a2"
"6203","Cacna2d4","Lin28b","Rabepk","9130409I23Rik","1110004E09Rik"
"6204","0610040J01Rik","Jmjd6","Kcnj15","Mgst2","Fam217a"
"6205","Manbal","Mtx2","Atp6v0e","Lmnb1","Lrch1"
"6206","Eif3k","Rapgef4","Iqck","Il1rap","Siva1"
"6207","Rfc5","Pde10a","Ccdc24","Btbd16","Gm8909"
"6208","C130026I21Rik","Vamp4","Ndufa2","Rint1","Jak2"
"6209","Mks1","Cenpi","Gpr171","Tbc1d10a","Efcab14"
"6210","Card9","Agpat1","Tor2a","Hipk3","Cdh18"
"6211","Ddx55","Atp1a2","Trappc8","Nmral1","Erbb4"
"6212","Ppp1r42","Rp1","Rbm42","Chrm4","Ccdc13"
"6213","Wdr54","Tmx4","Cxcr3","Pak1ip1","Med31"
"6214","Reps2","Fastkd3","Tcp1","Clca5","Igsf6"
"6215","Mycn","Prim1","Eci2","Hdac4","Sufu"
"6216","Rap2b","Sdpr","Gabrr2","Uap1l1","Ccdc24"
"6217","Megf10","Lct","March2_x","Ddx21","Spag16"
"6218","Arhgef37","Rhbdd3","Sec23b","M1ap","Zic1"
"6219","Cacnb3","Nisch","Extl2","Itpr3","Foxk2"
"6220","Cstf3","Lgi2","Spint3","Stab1","Gstcd"
"6221","Tcerg1","Rnase10","Dleu7","Gjb4","Cnot8"
"6222","Golga1","Tbcb","Arhgef28","Tnf","Coasy"
"6223","AI607873","Syne3","Lzts2","Txndc16","Nox1"
"6224","Fam64a","Hist1h2bg","Sdccag3","Efr3b","Klf13"
"6225","Eif4ebp3","Mapkap1","Lyg2","Aldh5a1","Zdhhc14"
"6226","Eif1a","Nlrp12","Lamtor5","Bcat2","Kcns3"
"6227","Yipf1","Allc","Atp2c2","Per1","Nlrp5"
"6228","Pex7","Gm7978","Chchd2","Mppe1","Uros"
"6229","Cds2","Magea2","Rhoc","Tctn3","Mtif2"
"6230","Bola2","Vax1","Ngfr","Cbx7","Tmeff2"
"6231","Cd19","BC048507","D8Ertd738e","Rgr","Sdcbp"
"6232","Map3k6","Gm12695","Kpna6","Irf3","Gm609"
"6233","Pgf","Tctex1d1","Areg","Atp13a1","A630023A22Rik"
"6234","Surf4","Tcf21","Pdxp","Setd4","Irf6"
"6235","B4galt3","Gltpd2","S100a14","F8a","Tnfrsf22"
"6236","1810013L24Rik","Wdr95","Tulp1","Ipo11","Adh1"
"6237","Slc36a2","Neurod2","Prb1","Dnaja4","Chst3"
"6238","S1pr4","Adam2","Cst10","Alox5","Ggcx"
"6239","Wdsub1","Smim18","Invs","Swap70","Map1a"
"6240","Clgn","Gpr151","Fgf17","Nrk","Dlx2"
"6241","Erap1","Gabrr1","Tet1","Gata2","Bckdhb"
"6242","Snx19","Tcl1b2","Rfng","Nol10","Smap2"
"6243","Abhd17b","Cyp4x1","Rpl13a","Man2b2","Arhgap15"
"6244","Laptm4a","Tdrd12","3110057O12Rik","Tceal8","Col4a3"
"6245","E130012A19Rik","Gm5936","Ift46","Dnah2","E130309D02Rik"
"6246","Tmeff2","Magel2","Mcts2","Map2k2","Bdkrb2"
"6247","Ogfod3","Birc7","Nlrp1b","Spon1","Mctp2"
"6248","Slc30a6","Proz","Hspa9","Nop58","Ipo4"
"6249","Abtb1","Tbx19","Retsat","Snx18","Ppil2"
"6250","Dpm1","Clps","Cyp4f40","Cphx2","Wbp4"
"6251","Slc22a23","Gm13271","Ccr6","1700093K21Rik","Cacfd1"
"6252","1110065P20Rik","Gm10413","Ankrd44","Fgfrl1","Zfp787"
"6253","Cars2","Adamts12","Stoml1","Nol9","Col12a1"
"6254","Chn1","Ddit4","Aplp2","Hspa1b","Myo6"
"6255","Mlf2","Nrp1","Fabp4","Insig1","Rnasel"
"6256","Fbln7","Map1lc3b","Rpl32","Prmt7","Tmem128"
"6257","Toe1","Pdxdc1","Dclre1a","Zfp219","Fam168b"
"6258","Nos2","Rnf187","Hnrnpl","Nxf2","Pid1"
"6259","Eif1ax","Sgol2","Gata1","Pigo","L1cam"
"6260","Cbfa2t2","Mapkapk2","Dcpp3","Glyr1","Abhd8"
"6261","Cxcl9","Mat2b","Wdr92","Prr15","Hmg20b"
"6262","Blvrb","Tpm2","Rbm33","Kif5a","Leprel1"
"6263","Gsdmd","Ppp2r2b","Hoxa9","Nsun6","Pafah2"
"6264","Lrrc49","Pyroxd2","Cd93","Asb3","Il18bp"
"6265","Mtfmt","9130023H24Rik","Stx5a","Twistnb","Wdfy1"
"6266","A830010M20Rik","Prkg2","Hist1h2af","Ngef","Tmem69"
"6267","Flt4","Hs3st4","Ptpra","Cant1","Sqstm1"
"6268","Zc3h12a","Spdef","Siglece","Sp3","D930015E06Rik"
"6269","G3bp1","Trip10","Tcte2","Gm4861","Tpx2"
"6270","Cpsf1","Cxcr6","Col10a1","Arl5b","Zbtb34"
"6271","Lhx9","Tmem168","Cpsf3","Glod4","Stx7"
"6272","Gatsl3","Ifi35","Serpind1","Inip","Zhx3"
"6273","Ufl1","Adra2a","Tmem55b","Rgcc","Agbl5"
"6274","Vipr1","Tipin","Foxk2","Mrps2","Scai"
"6275","Krtap17-1","2610018G03Rik","Lrrc8e","Arf5","Stox2"
"6276","Slc46a1","Thnsl2","En2","Nudt10","Adcy9"
"6277","Zfr","Gm5134","Ppp1r11","Qars","Ythdf1"
"6278","Cmip","Gpat2","Mtfmt","Kcnj3","Arih2"
"6279","Slitrk1","Mei4","Dut","Nop14","Tram1l1"
"6280","Zfp54","Dhfr","Marco","Baiap3","Mrgpra2a"
"6281","Dsg1c","Fchsd1","A4gnt","Aatk","Tmprss11e"
"6282","Taf1a","Peli3","Ccdc77","Pex11a","F8"
"6283","Smarca2","Ddx18","B4galt6","Npy1r","Slc44a1"
"6284","Psme1","Nemf","Fam198b","Sco1","Epha2"
"6285","Vrk3","Ifi204","Fam63a","Ptgfr","Capn10"
"6286","Apol10a","Tmem119","Ccdc135","Msi2","Rbm11"
"6287","Gm5111","Arpc1a","Smad1","4930453N24Rik","Nol3"
"6288","Rab23","Kptn","Dnajc9","Rabl3","Tspan32"
"6289","Myo9b","Hsd17b10","Gm5796","Mrpl46","Phf16"
"6290","Nol6","Stxbp5","Tk2","Scn7a","Chd5"
"6291","Pram1","Ankrd13b","Scamp5","Nrxn1","Grik5"
"6292","Loxl1","Bptf","Ngrn","Cela1","Lce3d"
"6293","Zxdc","Zfand3","Acsl5","Spidr","Lrrc4"
"6294","Lcmt1","Maea","Amfr","Lce1h","Sytl2"
"6295","Rnf8","Fosl2","Mfsd7a","Dnal1","Znrd1as"
"6296","Scel","Lrg1","Prpf19","Speer4c","Casp8"
"6297","Ddb2","Kdr","Mrps23","Actr5","Gpd1l"
"6298","Ccdc93","Syap1","Bbs12","Mif4gd","Klra2"
"6299","Pde1c","Zfp40","Xrcc6bp1","Psmb11","Dct"
"6300","Yars2","Kalrn","Adra1a","Ap2m1","Dbf4"
"6301","Dctd","Tbx6","Gpr81","Gfap","Kctd13"
"6302","Wfdc2","Fam219b","Nudt13","Tbcc","Efna3"
"6303","Fyttd1","Dtx3l","Vsig10","Rps15a","Prim1"
"6304","Mcfd2","Dynlrb1","C1ql1","Tnfrsf13b","Akap7"
"6305","Phf6","Pla2g4c","Klk1","Wdr13","Trib2"
"6306","Rhbdd1","Flywch2","Psg16","Gm5878","Spink2"
"6307","Nudt12","4933434E20Rik","Slc10a6","R3hdm4","Mios"
"6308","Slc10a3","Nudt19","Il1rn","Clasp2","Htatsf1"
"6309","B3galnt1","Scamp5","Tmem43","Gsc","1700024P16Rik"
"6310","Tmem213","Nat2","Ccl17","Pcdh9","Prrg1"
"6311","Ikzf3","Nde1","Igsf9b","Fads6","Nubpl"
"6312","Clec4e","Homer1","Gm4981","Abca13","Fpr2"
"6313","Id4","Ltbp3","Mipep","Cirh1a","Pramel7"
"6314","Emilin1","Lrrc38","Mettl14","Cenpb","Fabp6"
"6315","Siglece","Smyd3","Minpp1","Hist2h3c1","Smg8"
"6316","Kcnj10","Heyl","Dstn","Prkx","Cbx5"
"6317","Lamtor5","Klf10","Sdr39u1","Ap5b1","Sipa1l1"
"6318","Spry1","Atic","Pydc4","Rsl1","Slc15a4"
"6319","Rps6ka5","Etnk2","Ube3b","Rragc","Pla2g2f"
"6320","BC026590","Efnb1","G6pd2","Glul","Zscan22"
"6321","Il18rap","Dtd1","Ap1g2","Zbtb7b","Stag1"
"6322","Arrb2","Fbxo11","Eral1","Hapln2","Rpp38"
"6323","Vstm2b","Hells","Cthrc1","Phldb2","Dvl3"
"6324","Amdhd2","Shank1","Ezr","Fam63a","Grwd1"
"6325","1810011H11Rik","Clec4a4","Gm8882","Gpam","Ceacam12"
"6326","Gsta3","Igf2bp2","Clec4n","Rab7","Fndc4"
"6327","Pds5b","Ncs1","2510002D24Rik","Ftsj2","Lrrc40"
"6328","Sin3a","Tbc1d15","Grb2","Stk16","Glyat"
"6329","Foxi1","Eif3h","Pirb","Ier2","Polr2k"
"6330","Nfam1","Cherp","2310057J18Rik","Rnf6","Plcb2"
"6331","Mettl21e","Ccdc171","Cep170","Leprot","Sdsl"
"6332","Tnfrsf26","Commd3","Rslcan18","Plekhf2","Fga"
"6333","Hand2","Zc3hc1","Spta1","Ppig","Hhipl1"
"6334","Gpr97","Fscn1","Rhox4a","Hn1l","Aldh3a2"
"6335","Has1","Nsg1","Cxcl13","Pole4","Flot2"
"6336","Lamtor2","Itpa","Sdhb","Vps37c","Arntl"
"6337","Cc2d1a","Hrasls","8-Mar","Csnk1g2","Smpd2"
"6338","Vta1","Pdzk1ip1","Gm3739","Xkr9","Snap91"
"6339","Spock3","Creg2","Tada1","Rnmt","Cbln2"
"6340","Pigx","Nktr","Mogat2","Gnrh1","Gli1"
"6341","Slpi","Hk1","Rpl35","Acaa2","Ifitm2"
"6342","Pag1","Slc40a1","Mrpl35","Rab15","St8sia2"
"6343","Dph3","Dennd4b","Dcpp1","Vsx1","Dusp16"
"6344","Wnt3a","Krtcap2","Gabrq","Mab21l2","Ada"
"6345","Ddhd1","Glycam1","Zfyve9","Actn4","Nox4"
"6346","Krtap1-4","Myo1h","Smr3a","Piwil4","Tmem121"
"6347","Tlr1","Apol7c","Usp42","Ppa2","Fam211a"
"6348","Rrp12","2310003H01Rik","Cwc27","Ereg","Evi2b"
"6349","Fbxl17","D7Ertd443e","Nol9","Gm996","Msrb1"
"6350","Cd53","Cmas","Slc43a2","Sbds","Atl3"
"6351","Lipg","Rps2","Glud1","Hist1h1c","Fbxo8"
"6352","Cd320","Exoc3","Tph2","Helz","Serpina1d"
"6353","Gpr137b","Rps6kc1","Abtb2","Fzd3","Gm5414"
"6354","Ms4a6c","Blvra","Orm2","Wwc2","Zfp27"
"6355","Asxl3","Hspbp1","Mepce","Coch","Gm17296"
"6356","Myl10","Slc35a5","Trmt112","Gm4070","Hp1bp3"
"6357","Gm4070","Cacna1d","Casr","Gmppb","Dnajc21"
"6358","Suz12","Aqr","Nars2","Nlrc5","Ablim3"
"6359","Cd4","Ccdc34","Slc25a19","Mcm4","Gna12"
"6360","Phlda2","Slc38a10","Pknox1","Ofd1","Cltb"
"6361","Luc7l3","Polrmt","Pou3f2","Srp68","Dlg2"
"6362","Sh2b3","Arap3","Rbm4b","Pdcd7","Cct4"
"6363","Cd3eap","Aplf","Trim56","Tagap1","Eif2ak1"
"6364","Mtfr1","Sirt2","Tcf7","Mal","Prkaa1"
"6365","Lrrc51","Sacm1l","Zgpat","Sde2","Tlr8"
"6366","Cnot1","Ptprk","Ear6","Dcc","Slc22a17"
"6367","Bace1","Chpf2","Foxn2","AU022252","Tmem130"
"6368","Tmem125","Rpl35a","Ldlrap1","Zfp687","Exo1"
"6369","Mpl","Chl1","Cytl1","Lix1","Tktl1"
"6370","Nucks1","Gpr35","Parp16","Bai3","Ugt8a"
"6371","Tsg101","Fam173b","Lilra5","Gtpbp4","Fam20c"
"6372","Rom1","Rps9","Ndufs3","Gm19668","Slc7a11"
"6373","Cth","Tldc1","Gga1","S100a5","Hyls1"
"6374","Ces2f","Sema6a","Slc25a23","Gga3","Fbxo31"
"6375","Clec4d","Nolc1","Macf1","Sgsm2","Mmp11"
"6376","Lrrc52","Cyp2b19","Tlr12","2310033P09Rik","Dgat1"
"6377","Myl6","Mast1","Upf1","Zbtb25","Nadsyn1"
"6378","Snrpg","Itih3","Tcstv1","1110034G24Rik","Myo18a"
"6379","Sf3b2","Tapbpl","Bex4","Phykpl","Asun"
"6380","Rad17","AI317395","Anapc13","Kcnj12","St14"
"6381","Fancm","Cux1","Dnmt3l","Zfp239","Agtrap"
"6382","Anp32b","Cox6b2","Gal3st2","Zranb2","Npc1l1"
"6383","4931406P16Rik","Myl3","Gsta3","Mmd2","Met"
"6384","Mvb12a","Gm684","Endog","Cebpg","Olfr323"
"6385","Slc26a4","Il12a","Isl1","Lrrc40","Tbl1xr1"
"6386","Icosl","Gpr153","Map1lc3a","Smpx","Atg9b"
"6387","Nnmt","Chrdl1","Afg3l2","Rnf167","Aebp1"
"6388","Arhgap22","Parl","Dnase2a","Lrit1","Sertad3"
"6389","Smpd4","Tppp","Prcc","Parp8","Pyroxd1"
"6390","Fam203a","Dis3l","Prdm8","Chrnb2","P2rx6"
"6391","Dgkb","Ambra1","Tbx6","Commd5","Akr1b8"
"6392","Ficd","Fam227a","Bai1","Klhl11","Fggy"
"6393","Ccdc155","Robo2","Calca","Cd300e","Gm6614"
"6394","Mlc1","Cadm3","Nlrp1a","Slc22a4","Bcor"
"6395","Cript","Sftpd","Lsm10","Mob1b","Col4a2"
"6396","Fam217a","Nup188","Stk39","Exosc4","Nucks1"
"6397","Trmt13","Dmpk","Asb15","C3","Eif3f"
"6398","Med21","Mcfd2","Zfp37","Ncbp2","Dusp6"
"6399","Cct4","Mrgprb1","Pgrmc2","Pik3r2","Ptplad1"
"6400","Tmtc2","Synpo","Irs2","Triqk","Tmem126b"
"6401","Klb","D1Pas1","Urod","2410015M20Rik","Gpx3"
"6402","Cpxm2","Pqbp1","Rps14","Timm17b","Mrgprh"
"6403","Susd2","Ccnjl","Taf8","Slitrk4","Mboat7"
"6404","Cnpy4","Abhd11","Gm694","Kctd7","Ppard"
"6405","Ntn4","Usp9x","Fut7","Nat8l","St7l"
"6406","Wdr72","Tmem229a","Fam109b","Rfx3","Phf5a"
"6407","Srrm2","S1pr5","Rab33a","BC031181","Oxr1"
"6408","Pbld2","Yars","Emilin2","Brca1","Zfp366"
"6409","Llph","Anxa5","Strada","Trim25","Hinfp"
"6410","5730508B09Rik","Zfp444","Atp13a1","Aip","Myl4"
"6411","Tbc1d23","Rarres2","Csnk1a1","Ccnd3","Mrpl22"
"6412","Mtmr1","Hfe","Hemgn","Tfpi2","Dpep3"
"6413","Arid5b","Paox","Lcp1","Cwc25","Rufy1"
"6414","Fam219b","Mill2","Lipe","Brd7","Taf6l"
"6415","Cwc15","Xpo4","Slc19a1","Nfkb2","Mgat4b"
"6416","2010002M12Rik","Amfr","D17Wsu92e","H2-DMb1","BB287469"
"6417","Rgp1","Nop56","Fam13a","Dpp8","Dido1"
"6418","Cd209c","Zscan26","Amdhd2","Atp5g2","Wipi1"
"6419","Ska2","Mcts1","Slc38a4","Llgl2","Smc2"
"6420","Zfp821","Arl4c","Nlrp6","Pnliprp2","Lamtor4"
"6421","Notum","Trpt1","Mmp25","Lingo1","Sbf2"
"6422","Rab1b","Parp12","Lce1a2","Dos","Gpr35"
"6423","Crbn","Alg12","Asun","Gan","Crmp1"
"6424","Acat2","Gm5431","Cpt1a","Pdzk1ip1","2010107G23Rik"
"6425","Galnt11","P2ry6","Camkk1","Krtap19-5","Spc24"
"6426","Gtf2h5","Hspa8","Anp32e","9030619P08Rik","Hhipl2"
"6427","Fcgr4","Usp49","Ltbp2","Tmem86a","Ube2l6"
"6428","Alyref2","Tia1","Rhov","Gprin1","Mrpl34"
"6429","Klrb1f","Hoxb4","Sult1a1","Wbp1","Fbxo3"
"6430","Gria1","Lrp10","Slco1a1","Cdkn1a","Gm8923"
"6431","Clec10a","Zfp580","Scaf4","Snrnp40","Sphkap"
"6432","Ppp1r3f","Pop5","Rxfp2","Pcdhb12","Rpl27a"
"6433","Neurl4","Iqcd","Senp1","Litaf","Fank1"
"6434","Mcph1","Ptp4a3","Exoc3","Eif4enif1","Tbl2"
"6435","Fcna","Ninj1","Ccz1","Rpn1","Zfand4"
"6436","Pafah1b3","Ppp1r16b","Gpc6","Tmf1","Lgals9"
"6437","Zzef1","Chst15","Gm3604","Zfp444","Eif4ebp3"
"6438","Clec2i","Sdc3","Tmeff2","Klhl12","Zfp750"
"6439","Vnn1","AI848285","Grin1","Frmd5","Flrt1"
"6440","Gm13306","Tfb2m","Taf9","Acot9","Lyg1"
"6441","Prepl","Megf8","Wbp11","Sec61g","Prss50"
"6442","Rab1","Mllt4","Shoc2","Fosb","Rapgef1"
"6443","Chchd4","Sgsm1","Trmt1","Tyw3","Vta1"
"6444","Trat1","Ndfip1","Alas2","Abcf2","Prdm16"
"6445","Glrx3","Rplp1","Stk35","Ptpra","Setd3"
"6446","Paqr4","Cep76","Cdk2","Prmt2","Ttc32"
"6447","Csn1s1","Rhox8","Amy1","Elane","Osgep"
"6448","Scd1","Nfic","Ddx19a","Dscc1","Dda1"
"6449","Patz1","Fkbp14","Gbx1","C9","Abhd10"
"6450","Zdhhc15","Cltb","Tmprss4","Kat7","Ctu2"
"6451","Pbx2","Mtpap","Azgp1","Thoc6","Parp3"
"6452","Eftud2","Stx18","Mup21","Dnaaf1","Smcr8"
"6453","Cnppd1","Map2k5","Ncoa7","Fv1","Dcun1d4"
"6454","Ccnl2","Kcnt2","Tdo2","9030025P20Rik","2310003H01Rik"
"6455","Rnd2","TMEM185B","Pcdhb7","Ube2q2","Rere"
"6456","Rars","Tbpl1","Armcx2","Zmym1","Men1"
"6457","Polr3f","9930111J21Rik1","Capn6","Fkbp14","Ssrp1"
"6458","Klhl5","Pogk","Tppp3","Odf3l1","Ccdc14"
"6459","Mis18bp1","Tmem241","Tubb6","Gm5127","Apol11a"
"6460","Cst6","Omd","Xylt2","Psme2b","Fzd1"
"6461","Rasl11b","Wdr44","Prpmp5","Fads3","1110057K04Rik"
"6462","Hiat1","Pfkfb3","Hdac5","Gstp2","Fxyd2"
"6463","Hrnr","Ppib","Chrnb3","Rgs10","Ankrd46"
"6464","Vamp8","Wfikkn2","Dock10","Adrb2","Aim1"
"6465","Naip6","Ssbp3","Gins2","Rfesd","Clec2e"
"6466","Cln5","9330159F19Rik","Tex261","Tmbim4","Krt18"
"6467","Nip7","Aurkb","Galm","Neu3","Med29"
"6468","4922501C03Rik","Rbm25","Wnt6","Slc35e2","Fbxo43"
"6469","Fars2","Tor4a","Pllp","Phf6","Scn1a"
"6470","Cdc25a","Lgr6","Mex3c","Xylt2","Kcna10"
"6471","Bloc1s5","Ptpro","Mtfr2","Dad1","Elk3"
"6472","Tmem178","Fgf14","Ergic3","Hif1a","Grin3a"
"6473","Sdr42e1","Eif4g3","Hps6","Ccm2l","Crnn"
"6474","Ptpn9","Lrif1","Syne4","Arhgap26","Nol8"
"6475","Cog8","Slc35c2","Poldip3","Slc7a1","Fbp1"
"6476","Kpnb1","Ndufs6","Bpifa2","Hdac1","Cyfip1"
"6477","Psma3","Adamts15","Usp27x","Psmc3","Oprm1"
"6478","Lypd6","Klra2","Rpain","Slc17a8","Sh3bgrl2"
"6479","Uspl1","Ap1s3","Slc7a10","Cdkn1c","Nr2e1"
"6480","Fbxw7","Pcbp3","Itgb2","Abca8a","Mov10"
"6481","Rbp4","Rnf19b","Tmprss6","Plxna1","Ush1g"
"6482","Lmbr1l","Gstz1","Chrnd","Etohi1","Ctdspl"
"6483","Usp48","Pcdh15","Atp13a4","Atp11b","Ppat"
"6484","Map2k7","2610301B20Rik","Chia","C2","Plekhn1"
"6485","Higd1a","Arvcf","Spag16","Slc25a28","Irf4"
"6486","Pydc4","Ngly1","Sertad1","Cog5","Ralgapa2"
"6487","Bbs5","Atp6v1h","Rdh1","Cops8","Prr15"
"6488","Ppp4r2","Chrnb1","Tsen34","Zcchc8","Commd5"
"6489","Tpp1","Papd4","Dctn4","Tnfrsf17","Dbr1"
"6490","Zbtb44","Prkaa2","Zswim4","1190003K10Rik","Tchh"
"6491","Tmem243","Calm3","Tomm22","Fam169a","Kbtbd11"
"6492","Ank","Nos1ap","Mtmr6","Slc3a2","Gm14420"
"6493","N4bp2l2","Cpne7","Wfdc6a","Ociad2","Cnppd1"
"6494","Prr12","Tc2n","Dusp14","Arhgap23","C2cd2l"
"6495","Lilra5","Rrs1","Rpp40","Lgi3","Oprk1"
"6496","Pdk1","Nmi","Pde11a","Nup205","Gabrg2"
"6497","Ncbp2","Tspyl2","Aire","Amn1","Ttc39b"
"6498","Gpr65","Klkb1","Stxbp5","Thbs4","Greb1"
"6499","B3gntl1","Gpr155","Supv3l1","Jakmip1","Mkrn1"
"6500","Mpp2","Gria2","Slitrk5","BC017643","Mgat2"
"6501","Rps19bp1","Odf3b","Maats1","Zbtb20","Trim13"
"6502","Rasal2","Pfkl","Cyb561","Nfx1","Cacna2d2"
"6503","Eid2b","Sil1","Mob4","Stk32a","Hnrnpr"
"6504","Rhoh","Ggt7","Gm3383","Gbx2","Hnrnpll"
"6505","Ddit4","Tcf23","Arfgef2","Tldc1","Zfp954"
"6506","Dnpep","Plk1s1","Psat1","Znhit2","Tmem261"
"6507","Hoxa2","Dnajc28","Unc50","Fam20b","Pak2"
"6508","Ifih1","Sned1","Ybx3","Tceb3","Fam46c"
"6509","Tceb1","Gdf3","Stat6","Entpd8","Trim34b"
"6510","Ppp1r9a","Mug2","Dnase1","Xab2","Arhgap27"
"6511","Wtip","Mllt1","Etfdh","Krtap31-2","Pcp4l1"
"6512","Krt12","Cldn25","Chn2","Blvra","Ptpdc1"
"6513","Sbno2","Hist3h2ba","A130010J15Rik","Ntn5","Pdcl2"
"6514","Tor2a","Mterf","L3mbtl1","Tvp23b","Ryr2"
"6515","Ltbr","Mtfr2","Dxo","Snrpc","Duoxa2"
"6516","Gipc2","Klrk1","Noc2l","Krt72","Cnnm3"
"6517","Bag3","Foxd3","Rph3a","Tcp11l1","Foxs1"
"6518","Tfap4","Ccdc28a","Mrgprd","Scrn2","Zmynd8"
"6519","Carns1","6430573F11Rik","Aqp4","Mkrn1","Prf1"
"6520","Pdpn","Apobec2","Itgam","Asic3","Asic1"
"6521","Tha1","Card11","Exo5","Clec1a","Prdx6"
"6522","Pcsk6","Tgfbr3","Acadm","Prss55","Lpcat2"
"6523","Sub1","Noa1","Gm129","Mab21l3","Prss34"
"6524","Txndc9","Rnf185","Mta1","Vps16","Lrrcc1"
"6525","Nudt6","Meis1","Zfp606","Smc4","Cbr1"
"6526","Wsb2","Prosc","Islr2","Zw10","Arih1"
"6527","Dsel","Tril","Rps6kb1","Cdkl3","Idi2"
"6528","Phospho2","Txnip","Echdc2","Hdgf","Uchl1"
"6529","Ciita","Amd1","Car6","Prima1","Ing3"
"6530","Ivns1abp","Dmwd","Asb6","Vangl2","Dpysl3"
"6531","Gpr55","Ginm1","Cnn1","Golph3l","Nt5c3b"
"6532","Hexb","Myh11","Ogdhl","Paxip1","Lypla1"
"6533","Havcr1","Smpd1","1110017D15Rik","5330417C22Rik","Hdc"
"6534","Cpeb1","Dennd6a","Zmat5","Sapcd2","Rnf157"
"6535","Ocel1","Mrpl11","Tmprss3","Mapk8ip3","Shank1"
"6536","Tmem205","Shprh","Psmc4","Lin54","Pgm2l1"
"6537","Dlg2","Ifngr1","Dscaml1","Ccdc150","Fam175b"
"6538","Il1f6","Taf4a","Kat8","Rap1gap","Bcam"
"6539","Thoc5","Glp1r","4930402H24Rik","Sectm1b","Camk1"
"6540","BC147527","Pld6","Ndst3","Smad5","Glrx"
"6541","Lphn3","Hc","Rad23b","Rai2","Il4ra"
"6542","Csrnp1","Oxa1l","Avpr2","Fancf","Slc1a2"
"6543","Mrpl33","Atxn7","Loxl4","Prr9","Kcng2"
"6544","Arhgef25","Dhrs7c","Cartpt","Pdrg1","En2"
"6545","Cdc42bpb","Rpap3","Ffar2","Bptf","Naaladl1"
"6546","Mup11","Got1","Wiz","AB099516","Dhps"
"6547","Hoxa10","Phyhip","Mta3","Por","Rnf152"
"6548","Btaf1","D830030K20Rik","Dcpp2","Vsx2","Fam110b"
"6549","Fmr1","Rpl31","Aoc2","Prdm12","Tmem95"
"6550","D430042O09Rik","Asb5","Tusc2","Ccbe1","9430023L20Rik"
"6551","Clec2l","Btbd8","Ist1","Ptch1","Rbm34"
"6552","Pomt2","Ddr1","Metap1","Nlrc4","Tgs1"
"6553","Cpa6","Ckb","Slc8a1","Cpeb2","Eml2"
"6554","Parp12","Trappc10","Ccnd1","Trp53i11","Itga4"
"6555","Cachd1","Kcnh3","Fry","Il17rd","Rhox3e"
"6556","Unc93a","Oxct2a","Rhd","Ccdc13","Rbm25"
"6557","Tceal1","Pja1","1700093K21Rik","Usp50","Krtap19-2"
"6558","Tmem251","Dip2c","Dnttip1","Insl6","Tlr13"
"6559","Gm12185","Ppp1ca","Tox","Stard8","Nfe2l3"
"6560","Gpr4","Myo9a","Zfp84","Pigs","Wnt10b"
"6561","Rfesd","Sult1a1","Cybb","Rtfdc1","Zfp791"
"6562","Gtl3","Gmppa","Mmp28","Nol12","Ybx2"
"6563","Hyou1","Slamf9","Ugdh","Col4a2","Fam107a"
"6564","Cables1","Mcts2","Uba7","Zbtb21","Zc3h10"
"6565","Hist1h3d","Mettl6","Gm166","Gpr162","Nsun7"
"6566","Tnrc6a","Pms2","Ncoa5","Gm608","Prdm10"
