,H1_rep1,H1_rep2,H1_rep3,H1_rep4,H9_rep1,H9_rep2,H9_rep3,DEC_rep1,DEC_rep2,NPC_rep1,NPC_rep2
g83,43,58,52,47,171,204,246,471,462,251.24,281
g84,53,54,55,52,122.01,150.02,172,880.78,210.35,162.04,214
g85,0,0,0,0,0,0,0,0,0,0,0
g86,2,0,0,0,0,1,0,0,0,2,5
g87,238.61,222.34,250.15,229.17,201.99,236.16,285.31,9441.9,6807.37,5175.19,5420.21
g88,4,2,2,3,10,10,9,1118.51,159.35,51,17
g89,0,0,0,0,0,0,0,0,1,0,0
g90,653.19,633.79,616.24,567.3,1673.38,2046.65,1927.22,1812.39,1664.85,1122.59,1594.11
g91,0,0,0,0,0,0,0,0,0,0,0
g92,166.11,166.94,171.47,170.08,363.83,381.65,434.29,217.51,161.18,220.15,180.38
g93,1259,1146.75,1154.66,1155,3128.77,3797.32,4039.6,4582.04,3503.12,3738,3942.12
g94,1390.81,1217.03,1204.61,1216.25,2178.03,2557.17,2272.86,1600.78,1296.05,1357.74,1667.77
g95,3.52,6.93,8.15,2.26,2.34,8.02,0,1.16,0,11.51,14.94
g96,0,0,0,0,0,0,0,0,0,0,0
g97,392,347,348.01,357,859,711,824,273,315,1090,654.46
g98,21.22,18.51,22.32,27.89,23.32,58.91,54.43,114.17,132.83,299.38,170.65
g99,1,0,0,0,0,0,0,0,0,0,1
g100,314.39,273.86,278.67,298.17,688.35,833.36,793.32,1007.78,801.96,1553.39,1209.79
